epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2907.12,0.49605,0.43908,0.79724,0.96552,0.98589,0.98742,0.92597,0.36503,0.26212,0.77617,0.005842,0.005842,0.005842
44,2973.47,0.49012,0.43741,0.79683,0.96585,0.98791,0.98788,0.92476,0.37001,0.2626,0.77656,0.005743,0.005743,0.005743
45,3039.78,0.48629,0.43169,0.79589,0.96873,0.98736,0.98809,0.92709,0.364,0.25884,0.77603,0.005644,0.005644,0.005644
46,3106.1,0.4864,0.42932,0.79668,0.96613,0.98774,0.98792,0.9277,0.36131,0.25717,0.77578,0.005545,0.005545,0.005545
47,3172.44,0.48288,0.42952,0.79693,0.96925,0.98547,0.98807,0.92863,0.36047,0.25559,0.77565,0.005446,0.005446,0.005446
48,3238.7,0.48446,0.42985,0.79698,0.96871,0.986,0.98816,0.92851,0.35993,0.25532,0.77552,0.005347,0.005347,0.005347
49,3304.53,0.47819,0.41887,0.79666,0.96605,0.98724,0.98811,0.9291,0.35835,0.25372,0.77536,0.005248,0.005248,0.005248
50,3370.36,0.47654,0.41897,0.795,0.96569,0.98605,0.98764,0.92883,0.35816,0.25334,0.77541,0.005149,0.005149,0.005149
51,3437.77,0.47489,0.41604,0.79493,0.96266,0.99115,0.98742,0.93075,0.3522,0.25219,0.77491,0.00505,0.00505,0.00505
52,3504.47,0.47531,0.41384,0.79586,0.96616,0.9877,0.98787,0.93111,0.35297,0.25019,0.77492,0.004951,0.004951,0.004951
53,3570.96,0.47243,0.41253,0.79489,0.96728,0.98739,0.98826,0.93101,0.354,0.24891,0.77494,0.004852,0.004852,0.004852
54,3637.45,0.47111,0.40835,0.79456,0.96799,0.98575,0.98806,0.93156,0.35268,0.24835,0.77481,0.004753,0.004753,0.004753
55,3704.12,0.46782,0.40364,0.7932,0.96788,0.98711,0.98817,0.93277,0.35076,0.24693,0.77453,0.004654,0.004654,0.004654
56,3770.62,0.46703,0.40361,0.79374,0.96717,0.98871,0.98805,0.93293,0.34932,0.2462,0.77442,0.004555,0.004555,0.004555
57,3837.2,0.46339,0.40178,0.79383,0.96576,0.99049,0.98817,0.93348,0.35034,0.2459,0.77438,0.004456,0.004456,0.004456
58,3903.89,0.46116,0.39749,0.79304,0.96727,0.9891,0.98822,0.93422,0.3472,0.24457,0.77412,0.004357,0.004357,0.004357
59,3970.38,0.45866,0.39564,0.7925,0.96814,0.9889,0.98826,0.93496,0.34493,0.2431,0.77393,0.004258,0.004258,0.004258
60,4036.87,0.45584,0.39107,0.79241,0.96814,0.98927,0.98848,0.93586,0.34345,0.24192,0.77376,0.004159,0.004159,0.004159
61,4103.32,0.45873,0.39416,0.79311,0.96867,0.98932,0.98868,0.93691,0.34246,0.24069,0.77364,0.00406,0.00406,0.00406
62,4169.81,0.45274,0.38879,0.7924,0.96925,0.9895,0.98886,0.93681,0.34273,0.23973,0.77363,0.003961,0.003961,0.003961
63,4236.27,0.45292,0.38616,0.7923,0.96884,0.98976,0.98884,0.93714,0.34191,0.23901,0.77354,0.003862,0.003862,0.003862
64,4302.7,0.45203,0.38564,0.79254,0.96883,0.98938,0.98882,0.93743,0.34134,0.23828,0.77346,0.003763,0.003763,0.003763
65,4368.93,0.44851,0.3856,0.79235,0.96784,0.99046,0.98869,0.93743,0.3404,0.23774,0.77332,0.003664,0.003664,0.003664
66,4435.38,0.44767,0.38005,0.79194,0.96779,0.99141,0.98881,0.93779,0.3396,0.23712,0.77322,0.003565,0.003565,0.003565
67,4501.89,0.44807,0.38144,0.79249,0.96811,0.99115,0.98889,0.9382,0.33898,0.23655,0.77313,0.003466,0.003466,0.003466
68,4568.36,0.44334,0.37586,0.79188,0.96908,0.99108,0.98905,0.93877,0.33776,0.23567,0.77305,0.003367,0.003367,0.003367
69,4634.92,0.44226,0.37438,0.792,0.96921,0.99118,0.98917,0.939,0.33729,0.23533,0.77299,0.003268,0.003268,0.003268
70,4701.38,0.43991,0.37089,0.79218,0.96908,0.99175,0.98921,0.9391,0.33716,0.23466,0.77295,0.003169,0.003169,0.003169
71,4767.83,0.43682,0.36786,0.79066,0.96939,0.99193,0.9893,0.93949,0.33684,0.23433,0.77294,0.00307,0.00307,0.00307
72,4834.39,0.43524,0.36582,0.79103,0.96938,0.9918,0.98937,0.93978,0.3361,0.23366,0.77287,0.002971,0.002971,0.002971
73,4901.06,0.43622,0.36354,0.78975,0.97005,0.99042,0.98936,0.9399,0.33592,0.23316,0.77283,0.002872,0.002872,0.002872
74,4967.61,0.43278,0.36254,0.79048,0.97125,0.98904,0.98949,0.94025,0.33531,0.23236,0.77277,0.002773,0.002773,0.002773
75,5034.05,0.43124,0.35909,0.78912,0.97095,0.98973,0.98949,0.94041,0.33526,0.23225,0.77274,0.002674,0.002674,0.002674
76,5100.44,0.42921,0.35623,0.7906,0.97223,0.98809,0.98953,0.94084,0.33481,0.23185,0.77268,0.002575,0.002575,0.002575
77,5166.88,0.42709,0.35315,0.78949,0.97197,0.9888,0.98953,0.94073,0.33451,0.23145,0.77266,0.002476,0.002476,0.002476
78,5233.21,0.42692,0.35304,0.78931,0.97311,0.98805,0.98957,0.94101,0.33414,0.2308,0.77261,0.002377,0.002377,0.002377
79,5299.22,0.42465,0.35213,0.78988,0.97373,0.98755,0.98958,0.94091,0.33372,0.23043,0.77255,0.002278,0.002278,0.002278
80,5364.92,0.42337,0.34813,0.78966,0.97418,0.98672,0.9896,0.9409,0.33391,0.23033,0.77253,0.002179,0.002179,0.002179
81,5430.62,0.42044,0.34504,0.78896,0.97471,0.98641,0.98963,0.94124,0.3337,0.23,0.7725,0.00208,0.00208,0.00208
82,5496.28,0.41917,0.34489,0.79022,0.97497,0.9863,0.98966,0.94135,0.33359,0.22957,0.77247,0.001981,0.001981,0.001981
83,5561.98,0.41753,0.34284,0.78895,0.97546,0.98619,0.98972,0.94136,0.33328,0.22936,0.77244,0.001882,0.001882,0.001882
84,5627.61,0.41184,0.33779,0.78909,0.97528,0.98661,0.98975,0.94133,0.33308,0.22908,0.77238,0.001783,0.001783,0.001783
85,5693.25,0.41346,0.33912,0.78773,0.97551,0.98667,0.98978,0.94135,0.3333,0.22896,0.77235,0.001684,0.001684,0.001684
86,5758.92,0.4122,0.33577,0.78853,0.97299,0.98945,0.9898,0.94165,0.33308,0.22876,0.77233,0.001585,0.001585,0.001585
87,5824.62,0.41158,0.33425,0.78856,0.97302,0.98965,0.98982,0.94174,0.33272,0.22838,0.77229,0.001486,0.001486,0.001486
88,5890.29,0.40847,0.33034,0.788,0.97339,0.98931,0.98987,0.94176,0.33247,0.22818,0.77223,0.001387,0.001387,0.001387
89,5957.43,0.4047,0.32577,0.7882,0.97353,0.9893,0.98988,0.94168,0.33227,0.22796,0.77218,0.001288,0.001288,0.001288
90,6023.89,0.40346,0.32439,0.78809,0.9735,0.98987,0.98991,0.94173,0.33237,0.22795,0.77216,0.001189,0.001189,0.001189
91,6109.25,0.36807,0.25901,0.78124,0.97328,0.99002,0.98993,0.94207,0.33227,0.22772,0.77213,0.00109,0.00109,0.00109
92,6175.27,0.36316,0.2538,0.7803,0.97333,0.98983,0.98993,0.9423,0.33179,0.22757,0.77209,0.000991,0.000991,0.000991
93,6241.31,0.35971,0.25155,0.77983,0.97336,0.99014,0.98994,0.9426,0.33124,0.22745,0.77203,0.000892,0.000892,0.000892
94,6307.23,0.35839,0.24978,0.77951,0.97495,0.98795,0.98996,0.94278,0.33087,0.22717,0.77198,0.000793,0.000793,0.000793
95,6373.21,0.35495,0.24604,0.78075,0.97439,0.98891,0.98998,0.94323,0.33056,0.22694,0.77192,0.000694,0.000694,0.000694
96,6439.32,0.35258,0.2441,0.77934,0.97435,0.98892,0.99,0.94335,0.33009,0.22673,0.77185,0.000595,0.000595,0.000595
97,6505.38,0.34976,0.23869,0.7785,0.97458,0.98857,0.99004,0.94356,0.32964,0.22649,0.7718,0.000496,0.000496,0.000496
98,6571.38,0.34859,0.23597,0.77837,0.9748,0.98881,0.99009,0.94355,0.32969,0.22638,0.77176,0.000397,0.000397,0.000397
99,6637.39,0.34691,0.23486,0.7784,0.9748,0.98893,0.99011,0.94356,0.32972,0.22641,0.77171,0.000298,0.000298,0.000298
100,6703.35,0.34465,0.23425,0.77815,0.9758,0.98791,0.99014,0.94379,0.32955,0.22628,0.77166,0.000199,0.000199,0.000199
